Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uf","C_0805_2012Metric",74.800000,25.000000,0.000000,top
"C2","0.1uf","C_0805_2012Metric",27.000000,37.500000,180.000000,top
"C3","0.1uf","C_0805_2012Metric",27.000000,35.400000,180.000000,top
"C4","0.1uf","C_0805_2012Metric",45.400000,5.100000,-90.000000,top
"C5","0.1uf","C_0805_2012Metric",66.200000,39.800000,90.000000,top
"C6","0.1uf","C_0805_2012Metric",57.500000,51.100000,0.000000,top
"C7","0.1uf","C_0805_2012Metric",64.300000,51.100000,180.000000,top
"C8","0.1uf","C_0805_2012Metric",56.000000,38.500000,90.000000,top
"C9","0.1uf","C_0805_2012Metric",21.300000,91.850000,-45.000000,top
"C10","0.1uf","C_0805_2012Metric",29.800000,36.200000,-90.000000,top
"C11","0.1uf","C_0805_2012Metric",31.900000,36.200000,90.000000,top
"C12","0.1uf","C_0805_2012Metric",12.600000,61.500000,-90.000000,top
"C13","0.1uf","C_0805_2012Metric",14.700000,61.500000,-90.000000,top
"C14","0.1uf","C_0805_2012Metric",16.800000,61.500000,-90.000000,top
"C15","0.1uf","C_0805_2012Metric",21.200000,51.100000,0.000000,top
"C16","0.1uf","C_0805_2012Metric",26.505000,54.125000,90.000000,top
"C17","47pf","C_0805_2012Metric",28.700000,54.125000,-90.000000,top
"C18","4.7n","C_0805_2012Metric",30.900000,54.125000,90.000000,top
"C19","47p","C_0805_2012Metric",8.300000,11.150000,-90.000000,top
"C20","47p","C_0805_2012Metric",8.300000,14.650000,90.000000,top
"C21","0.1uf","C_0805_2012Metric",17.900000,12.100000,0.000000,top
"C22","0.1uf","C_0805_2012Metric",19.150000,23.300000,180.000000,top
"D2","B560C","D_SMC",21.700000,33.600000,90.000000,top
"D3","B560C","D_SMC",14.300000,48.800000,180.000000,top
"D4","TX","LED_0805_2012Metric",20.700000,10.200000,-90.000000,top
"D5","RX","LED_0805_2012Metric",22.800000,10.200000,-90.000000,top
"L1","7.2uH","L_Wuerth_WE-PDF",25.000000,44.300000,-90.000000,top
"Q1","S8050","SOT-23",27.790000,11.400000,90.000000,top
"Q2","S8050","SOT-23",27.800000,18.800000,-90.000000,top
"R1","68","R_0805_2012Metric",45.400000,10.300000,-90.000000,top
"R2","10k","R_0805_2012Metric",68.712500,3.200000,0.000000,top
"R3","10k","R_0805_2012Metric",73.387500,3.000000,180.000000,top
"R5","53.6k","R_0805_2012Metric",70.300000,25.000000,180.000000,top
"R6","442k","R_0805_2012Metric",13.800000,56.187500,90.000000,top
"R7","53.6k","R_0805_2012Metric",24.400000,54.100000,90.000000,top
"R8","5.1k","R_0805_2012Metric",5.200000,19.300000,180.000000,top
"R9","16.9k","R_0805_2012Metric",29.812500,56.900000,180.000000,top
"R10","5.1k","R_0805_2012Metric",5.300000,6.500000,180.000000,top
"R11","10k","R_0805_2012Metric",26.800000,15.100000,90.000000,top
"R12","10k","R_0805_2012Metric",26.800000,21.800000,180.000000,top
"R13","10k","R_0805_2012Metric",26.912500,8.400000,180.000000,top
"R14","90.9","R_0805_2012Metric",13.087500,53.300000,0.000000,top
"R15","243k","R_0805_2012Metric",16.612500,53.300000,180.000000,top
"R16","10.2k","R_0805_2012Metric",20.387500,53.300000,180.000000,top
"R17","27","R_0805_2012Metric",11.100000,11.900000,0.000000,top
"R18","27","R_0805_2012Metric",11.100000,13.900000,180.000000,top
"R19","470","R_0805_2012Metric",5.112500,2.100000,0.000000,top
"R20","470","R_0805_2012Metric",5.200000,23.700000,0.000000,top
"R21","10k","R_0805_2012Metric",28.800000,15.100000,-90.000000,top
"R22","270","R_0805_2012Metric",20.700000,6.700000,-90.000000,top
"R23","270","R_0805_2012Metric",22.800000,6.700000,90.000000,top
"REF**","Fiducial_1mm_Mask2mm","Fiducial_1mm_Mask2mm",40.000000,30.000000,0.000000,top
"REF**","Fiducial_1mm_Mask2mm","Fiducial_1mm_Mask2mm",72.000000,60.000000,0.000000,top
"REF**","Fiducial_1mm_Mask2mm","Fiducial_1mm_Mask2mm",7.000000,60.000000,0.000000,top
"REF**","Fiducial_1mm_Mask2mm","Fiducial_1mm_Mask2mm",15.000000,2.000000,0.000000,top
"REF**","L_Wuerth_HCM-7070","L_Wuerth_HCM-7070",25.000000,44.300000,-90.000000,top
"SW1","IO0","SW_SPST_EVQP7A",1.550000,3.900000,-90.000000,top
"SW2","RST","SW_SPST_EVQP7A",1.550000,21.900000,-90.000000,top
"U1","AT25SF081-SSHD-X","SOIC-8_3.9x4.9mm_P1.27mm",50.200000,6.100000,0.000000,top
"U2","ESP32-WROOM-32D","ESP32-WROOM-32",67.500000,14.000000,-90.000000,top
"U4","TXS0108EPW","TSSOP-20_4.4x6.5mm_P0.65mm",60.900000,46.500000,0.000000,top
"U5","TXS0108EPW","TSSOP-20_4.4x6.5mm_P0.65mm",60.900000,35.000000,0.000000,top
"U6","AMS1117-3.3","SOT-223-3_TabPin2",29.500000,29.550000,-90.000000,top
"U7","TPS54560BDDA","Texas_R-PDSO-G8_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias",18.900000,57.000000,0.000000,top
"U8","FT231XS","SSOP-20_3.9x8.7mm_P0.635mm",18.790000,18.440000,-90.000000,top
