Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,0.1uf,
C10,0805,1,0.1uf,
C11,0805,1,0.1uf,
C12,0805,1,0.1uf,
C13,0805,1,0.1uf,
C14,0805,1,0.1uf,
C15,0805,1,0.1uf,
C16,0805,1,0.1uf,
C17,0805,1,47pf,
C18,0805,1,4.7n,
C19,0805,1,47p,
C2,0805,1,0.1uf,
C20,0805,1,47p,
C21,0805,1,0.1uf,
C22,0805,1,0.1uf,
C3,0805,1,0.1uf,
C4,0805,1,0.1uf,
C5,0805,1,0.1uf,
C6,0805,1,0.1uf,
C7,0805,1,0.1uf,
C8,0805,1,0.1uf,
C9,0805,1,0.1uf,
D1,LED_D5.0mm_Clear,1,STATUS,
"D2, D3",D_SMC,2,B560C,
D4,0805,1,TX,
D5,0805,1,RX,
J1,PinSocket_2x08_P2.54mm_Vertical,1,HUB75E,
J2,Molex_KK-396_A-41791-0004_1x04_P3.96mm_Vertical,1,Conn_01x04,
J3,BarrelJack_Horizontal,1,Barrel_Jack,
J4,USB_C_Receptacle_GCT_USB4085,1,USB_C_Receptacle_USB2.0,
J5,PinHeader_1x03_P2.54mm_Vertical,1,PRGM,
L1,L_Wuerth_WE-PDF,1,7.2uH,
"Q1, Q2",SOT-23,2,S8050,
R1,0805,1,68,
R10,0805,1,5.1k,
R11,0805,1,10k,
R12,0805,1,10k,
R13,0805,1,10k,
R14,0805,1,90.9,
R15,0805,1,243k,
R16,0805,1,10.2k,
R17,0805,1,27,
R18,0805,1,27,
R19,0805,1,470,
R2,0805,1,10k,
R20,0805,1,470,
R21,0805,1,10k,
R22,0805,1,270,
R23,0805,1,270,
R3,0805,1,10k,
R4,R_LDR_5.0x4.1mm_P3mm_Vertical,1,PDV-P8103,
R5,0805,1,53.6k,
R6,0805,1,442k,
R7,0805,1,53.6k,
R8,0805,1,5.1k,
R9,0805,1,16.9k,
SW1,SW_SPST_EVQP7A,1,IO0,
SW2,SW_SPST_EVQP7A,1,RST,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,AT25SF081-SSHD-X,
U2,ESP32-WROOM-32,1,ESP32-WROOM-32D,
U3,TO292P930H600-4,1,MLX90640,
"U4, U5",TSSOP-20_4.4x6.5mm_P0.65mm,2,TXS0108EPW,
U6,SOT-223-3_TabPin2,1,AMS1117-3.3,
U7,Texas_R-PDSO-G8_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,1,TPS54560BDDA,
U8,SSOP-20_3.9x8.7mm_P0.635mm,1,FT231XS,
